"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G02580",10.3378618195216,-0.18526792943155,0.899818209132576,-0.205894843593073,0.836873053375146,0.999646927568409
"AT1G58220",61.0576044292857,-0.051130249410862,0.279234376093472,-0.183108720803582,0.854712713251494,0.999646927568409
"AT1G07350",512.166671922731,0.0891637511405104,0.315756287928784,0.282381553588001,0.777650957802863,0.999646927568409
"AT1G06950",610.409035814197,-0.111224018329352,0.224664171637691,-0.495067894086467,0.620552195940639,0.999646927568409
"AT1G19200",12.6085132828989,0.20123887292449,0.714830412239342,0.281519741576287,0.778311788514817,0.999646927568409
"AT1G52140",147.021307259497,0.0338108241794441,0.35588898582046,0.0950038509944252,0.924311768107323,0.999646927568409
"AT1G18550",36.5323568612239,0.426703221454621,0.371395120176453,1.14891983839715,0.250589036519713,0.999646927568409
"AT1G77510",819.400725965144,0.157511186894088,0.319464145482479,0.493048090439705,0.621978607898989,0.999646927568409
"AT1G52430",5.82327654273664,0.0941934830017548,0.809963292452691,0.116293520804533,0.907419920421601,0.999646927568409
"AT1G15950",444.662766925928,0.0523662673759322,0.273427063977889,0.191518230178439,0.848119599264906,0.999646927568409
"AT1G67850",130.438851254741,0.687252005854233,0.571453450354782,1.20263864961802,0.229116184417024,0.999646927568409
"AT1G69620",848.557754266541,0.11483853027007,0.301963848530457,0.380305559188445,0.703718609366621,0.999646927568409
"AT1G57860",210.480779428646,-0.086458683880445,0.269169039758428,-0.321205900790222,0.74805436070934,0.999646927568409
"AT1G63160",64.9683393172266,0.0252872536290006,0.28391597545062,0.0890659766110931,0.929029476630951,0.999646927568409
"AT1G28510",117.892569001741,-0.225476862637775,0.2953988999044,-0.763296216440706,0.44528675802041,0.999646927568409
"AT1G48240",94.4399537620411,-0.0859908619191167,0.314027638811907,-0.273832144980789,0.784213619317655,0.999646927568409
"AT1G36370",675.269226245575,0.252063569848808,0.385803523528808,0.653346987459504,0.513532606788887,0.999646927568409
"AT1G63370",7.4685887257546,-0.0720552720287634,0.829481020368199,-0.0868678972266041,0.930776517332109,0.999646927568409
"AT1G56110",1040.51260433769,0.274464851458016,0.354044073002515,0.775227923264986,0.438204991001658,0.999646927568409
"AT1G14510",359.614254271169,0.0614353484336234,0.198810616865412,0.309014424894687,0.757310553999679,0.999646927568409
"AT1G19010",27.3228321038202,-0.0343448290327328,0.484039269407671,-0.0709546336493757,0.9434338615412,0.999646927568409
"AT1G54250",68.4353986339653,-0.0924232851165395,0.280113765215895,-0.329949101377811,0.741438421509463,0.999646927568409
"AT1G55170",75.5712024039735,0.2123821972634,0.358996417897195,0.591599767227258,0.554118629782215,0.999646927568409
"AT1G70230",98.6061258050649,-0.403630216139487,0.479613696419107,-0.841573581307355,0.400026682174588,0.999646927568409
"AT1G45015",39.745090714601,-1.22325067242678,0.921085212464497,-1.32805375211029,0.184160350197474,0.999646927568409
"AT1G23160",9.29191439854745,-0.532123266226613,1.04436270959428,-0.50951959634152,0.610388066015433,0.999646927568409
"AT1G67510",71.9483916849202,-0.102846049956291,0.420508398525576,-0.244575495559421,0.806785139611173,0.999646927568409
"AT1G08230",44.2130266379241,0.0914524264221784,0.359948672046006,0.254070742648801,0.799440905854698,0.999646927568409
"AT1G67780",19.9543072768565,-0.125334540266503,0.465480516997104,-0.269258402209953,0.787730840633503,0.999646927568409
"AT1G04280",675.135523179391,0.139634812373373,0.222027792086674,0.62890690872998,0.529410002798866,0.999646927568409
"AT1G55020",3958.12191031523,0.310738461896809,0.783943273962185,0.396378758792435,0.691825633599581,0.999646927568409
"AT1G48970",190.667168524621,0.0335951844616958,0.222828980422295,0.150766674954163,0.880159775252229,0.999646927568409
"AT1G79420",32.2327852871624,0.430846562907972,0.399283297438675,1.07904980166155,0.280565527268224,0.999646927568409
"AT1G70350",33.0934078091452,-0.177377008304676,0.406567371443535,-0.436279496986912,0.662633955741292,0.999646927568409
"AT1G12450",49.0194006021345,-0.0804534104701255,0.370726235060692,-0.217015692069795,0.828196115844643,0.999646927568409
"AT1G57660",562.449555538763,-0.250740053504592,0.250857026521502,-0.999533706436164,0.317536219257491,0.999646927568409
"AT1G05870",132.948460290659,-0.143489316649912,0.25358879108687,-0.565834617669509,0.57150621125763,0.999646927568409
"AT1G78820",1.60541213031141,-0.446466396196928,1.64641349835651,-0.271175131060697,0.786256339136622,0.999646927568409
"AT1G03790",4.96728591401674,-1.12411156392094,1.12132456989388,-1.00248544810476,0.316109191266655,0.999646927568409
"AT1G02220",1186.26508481057,0.884383736537437,0.669398376478856,1.3211620577711,0.186447334513956,0.999646927568409
"AT1G74420",3.93399685520911,1.00802851020862,1.06266140237378,0.948588617180297,0.342829882550275,0.999646927568409
"AT1G56680",38.4885903311468,-0.599752327872687,0.541320542086429,-1.10794304158686,0.267886415485503,0.999646927568409
"AT1G22140",65.8460091931561,0.0459531020608808,0.321817970458516,0.142792218829198,0.886454282581473,0.999646927568409
